Años;Utiliza Internet;Utiliza Internet (65 a 74 años);Compra a través de Internet;Compra a través de Internet (65 a 74 años);Usa teléfono móvil;Usa teléfono móvil (65 a 74 años)
2023;95.4;80.1;55.9;24.8;99.2;96.3
2022;94.5;76.4;55.3;23.7;99.2;97.3
2021;93.9;73.3;55.2;23;99.2;96.6
2020;93.2;69.7;53.8;20.5;98.9;94.5
2019;90.7;63.6;46.9;13.5;96.9;89.5
2018;86.1;49.1;43.5;12;;
2017;84.6;43.7;40;10.6;96.2;85.3
2016;80.6;34.7;34.9;7.5;;
2015;78.7;31.3;32.1;6.6;95.4;82.3
2014;76.2;26.2;27.5;4.5;95;78.6
2013;71.6;21.9;22.9;3.7;94.2;76.9
2012;69.5;19;21.7;3.5;94.4;75.8
2011;66.5;16.2;18.6;3.4;92.8;70.7
2010;63.5;13.8;17;3.1;92.3;68.5
2009;59;11.2;15.2;1.7;90.5;64.8
2008;55.9;8.6;12.8;1;88.7;57.1
2007;51.5;6.6;12.7;1.5;86.6;51.8
2006;47.3;5.1;10;0.7;83.1;45.1
